timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750161001.0853927,180,38,416,293,298,165,836,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.65211471279026,-90.31120818285169,-54.823202529870926,-89.80256119516531,-54.37565218919728,-90.38807577678449,-54.649392696526334,-89.57424059648628
1750161001.2086515,30,31,185,291,107,161,735,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.81628367714351,-90.60741870178667,-54.753161746526416,-90.30080241623915,-54.62420330501115,-90.74284484607914,-54.52320821602382,-90.25225878920314
1750161001.2086515,180,33,416,292,298,162,748,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.740114485081804,-90.31100799135,-54.893193058259236,-89.85590279184112,-54.49275327976177,-90.37978425960564,-54.737678996845645,-89.65161594039147
1750161001.3307757,181,32,415,292,298,162,735,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.75311263928908,-90.30894318055243,-54.90230114185752,-89.86540322707286,-54.510234390822575,-90.37536521866444,-54.74893599493207,-89.66570129309714
1750161001.3307757,29,30,185,293,107,161,716,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.83445733362914,-90.60152350662567,-54.7721604747681,-90.30102224617056,-54.647705297679074,-90.73426383860597,-54.5480303235014,-90.25346182187782
1750161001.4573343,28,28,184,291,106,159,737,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.816121351083105,-90.61195604418961,-54.75114109394517,-90.30281994630472,-54.62427103011076,-90.74912136305356,-54.52030261869007,-90.25450360643772
1750161001.4573343,180,32,416,294,298,163,736,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.752114454030654,-90.31098069250885,-54.90273722122128,-89.86317664593328,-54.50872161029329,-90.37865359817218,-54.74971803779829,-89.66216712365124
1750161001.580685,16,12,183,306,99,159,754,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.81128701534573,-90.64160622250174,-54.73412626753907,-90.30475811948013,-54.61981346725248,-90.7918233956298,-54.49635627076183,-90.25286643079527
1750161001.580685,178,18,416,305,297,161,726,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.76213470787113,-90.31497852163575,-54.91069069035631,-89.86923819101008,-54.52205795799173,-90.38354121864467,-54.75974752996803,-89.67035668964357
1750161001.7041018,15,11,182,304,98,157,773,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.795177724687775,-90.65189989603978,-54.715116665087045,-90.30678394647812,-54.59930643616626,-90.8064453482103,-54.471208740805096,-90.25425982891164
1750161001.7041018,179,15,416,304,297,159,753,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.735122128190625,-90.31310443232567,-54.88921632369172,-89.85287201930272,-54.486110872454695,-90.38327871490118,-54.73266158525643,-89.64690685406443
1750161001.8250268,15,9,183,306,99,157,772,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.79607414748839,-90.65145669612716,-54.71612659502399,-90.3046495407084,-54.60045475973661,-90.80612286920245,-54.47253867579356,-90.25123142053243
1750161001.8250268,179,14,416,307,297,160,736,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.75212191194,-90.31301868575385,-54.90273722122128,-89.86317664593328,-54.50873242426185,-90.38160868837743,-54.74971691911189,-89.66186142466451
1750161001.9512289,180,0,416,300,298,150,825,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.66311468432671,-90.31118315891398,-54.83195134591947,-89.8092288947498,-54.39028982551784,-90.38703933713713,-54.66042848406626,-89.58391251447445
1750161002.076377,180,0,416,298,298,149,827,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.66111468950189,-90.31118770872084,-54.83036065209246,-89.80801658573444,-54.38762843709591,-90.38722778070938,-54.65842197724082,-89.58215398393115
1750161002.076377,8,0,184,317,96,158,733,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.83745461513781,-90.64684636473147,-54.755140939023136,-90.30285515074044,-54.65460428622838,-90.7997070471739,-54.522902404444906,-90.24932110478828
1750161002.201277,1,0,182,310,91,155,754,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.8256690256204,-90.6694238133025,-54.734116563929206,-90.30684594638116,-54.64066883769224,-90.83184572825577,-54.494184898986326,-90.25172114118165
1750161002.201277,179,0,415,308,297,154,776,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.712122420765006,-90.31322044239344,-54.86962322659794,-89.84064128340344,-54.45570026125159,-90.38528153988433,-54.70770155058429,-89.62915488550031
1750161002.324029,1,0,182,308,91,154,757,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.82303330868165,-90.67085664135176,-54.73111657990149,-90.30683615692278,-54.6372970457352,-90.83392479734599,-54.49023027968695,-90.25149202225961
1750161002.4453475,1,0,181,310,91,155,753,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.82654759793332,-90.66894620395274,-54.73511264148653,-90.30893428627408,-54.64179335591237,-90.83083994371471,-54.495497425597506,-90.25482087542885
1750161002.5702567,179,0,415,309,297,154,756,glass,416,-55.48811254955988,-90.30930636358553,4.311965214635012,-54.7321221663525,-90.31311956407365,-54.885563673066024,-89.85272028031537,-54.482308825383264,-90.38332341678382,-54.72781523612489,-89.64668456277057
